No,Operator,Name,Description,Normal Price,Price,Discount,Kuota,Durasi
115,xl,xtra combo,"35gb kuota utama + 70gb kuota youtube (00:24 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 90 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota (max. 1gb) dapat digunakan di bulan berikutnya.",239000,239000,0,35gb+70gb,30.0
116,xl,xtra combo vip,"35gb kuota utama + 70gb kuota youtube (00:00 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 90 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",249000,249000,0,35gb+70gb,30.0
117,xl,xtra combo flex max,80gb kuota utama + kuota area hingga 105gb + 90mn nelpon ke semua operator + ambil bonus kuota utama/xtra unlimited turbo/vidio platinum di myxl. masa aktif paket 30hr. info lanjut di xl.co.id/xcfm,245000,245000,0,80gb,0.0
118,xl,akrab,80gb kuota bersama + bonus kuota pribadi hingga 45gb per anggota + unlimited kuota aplikasi + unlimited nelpon & sms ke xl/axis. cek kuota pribadi di areamu xl.co.id/akrab,320000,320000,0,260gb,30.0
119,axis,combo mabrur & haji,"""- kuota nelpon dapat digunakan untuk melakukan panggilan ke nomor indonesia (axis, xl & operator lain) dan nomor saudi arabi, dan juga menerima panggilan telpon - kuota sms dapat digunakan untuk seluruh operator (baik operator di indonesia maupun di luar negeri) - untuk data, setelah melewati fup maka kecepatan akan turun menjadi 64kbps""",399000,399000,0,,20.0
120,xl,internet umroh & haji,5gb kuota utama untuk di indonesia + 5gb kuota utama untuk di arab saudi. masa aktif 45 hari. syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,469000,469000,0,5gb+5gb,45.0
121,xl,akrab,160gb kuota bersama + bonus kuota pribadi hingga 75gb per anggota  + unlimited kuota aplikasi+ unlimited nelpon & sms ke xl/axis. cek kuota pribadi di areamu xl.co.id/akrab,515000,515000,0,460gb,30.0
122,xl,internet umroh & haji,25gb kuota utama untuk di indonesia + 25gb kuota utama untuk di arab saudi. masa aktif 60 hari. syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,999000,999000,0,25gb+25gb,60.0
123,xl,xtra conference,"kuota utama 2gb, dapat digunakan di jaringan 2g/3g/4g dari jam 00.00-24.00 wib, dapat digunakan untuk apps microsoft teams, zoom, google meet, google hangout, google classroom, masa aktif 1 hari",2938,2938,62,2gb,1.0
124,xl,xtra conference,"kuota utama 5gb, dapat digunakan di jaringan 2g/3g/4g dari jam 00.00-24.00 wib, dapat digunakan untuk apps microsoft teams, zoom, google meet, google hangout, google classroom, masa aktif 3 hari",4938,4938,62,5gb,3.0
125,telkomsel,telkomsel data flash,"250mb all network, bebas zona, masa aktif 7 hari.",9955,9955,0,250mb,0.0
126,axis,paket kangen 30 menit,"kuota nelpon 30 menit ke semua operator, masa aktif 7 hari.",8750,8750,1150,,7.0
127,indosat,paket nelpon obrol sepuasnya ke sesama,nelp sepuasnya ke sesama im3 dan tri & spesial tarif nelp ke operator lain rp 10/detik. masa aktif 30 hari,9900,9900,0,,30.0
128,telkomsel,paket bicara semua operator, 280menit onnet + 5menit allopr ,11500,11500,0,,1.0
129,xl,xtra conference,"kuota utama 15gb, dapat digunakan di jaringan 2g/3g/4g dari jam 00.00-24.00 wib, dapat digunakan untuk apps microsoft teams, zoom, google meet, google hangout, google classroom, masa aktif 7 hari",11874,11874,126,15gb,7.0
130,telkomsel,telkomsel data flash," 500mb all network, bebas zona, masa aktif 15 hari.",16980,16980,0,500mb,15.0
131,indosat,freedom internet sachet,"â¢ kuota utama 2.5gb, masa aktif 5 hari. â¢ pembelian paket akan menggantikan paket yg masih aktif.",10950,10950,0,2.5gb,5.0
132,xl,anynet 400 menit,paket anynet 400 menit. masa aktif 7 hari.,11750,11750,250,,7.0
133,axis,aigo bronet 24jam,"kuota utama 1gb, kuota lokal mulai 0,5gb berlaku di area tertentu, masa aktif paket 30hari. cek kuota utama/lokal/sisa kuota di axisnet. unduh axisnet dari google play atau apple store. bronet 30hari tidak berlaku perpanjangan",16000,16000,0,1gb,30.0
134,telkomsel,paket data zoom,"kuota internet zoom 500mb, masa aktif 1 hari",15125,15125,0,,1.0
135,indosat,freedom internet,"â¢ kuota utama 2gb, masa aktif 30 hari â¢ bonus tambahan kuota zona hingga 2gb, jika registrasi paket di zona kuota plus freedom internet. infoâ im3.do/kuotaplusec â¢ baru! nelpon sepuasnya ke sesama im3 & tri, suara lebih jernih didukung jaringan volte â¢ pembelian paket akan menggantikan paket yg masih aktif",17750,17750,0,2gb,0.0
136,telkomsel,telkomsel data flash," kuota utama 1gb, masa aktif 7 hari",24280,24280,0,1gb,7.0
137,axis,aigo bronet mini,"kuota utama 2gb, kuota lokal mulai 1gb dan bonus kuota video/sosmed/games di area tertentu, masa aktif paket 7hari. cek kuota utama/lokal/sisa kuota di axisnet. unduh axisnet dari google play atau apple store. bronet mini tidak berlaku perpanjangan",18400,18400,0,2gb,7.0
138,telkomsel,paket internethran 20k,kuota 6gb sd 8gb,20525,20525,0,,1.0
139,telkomsel,paket bicara semua operator, 585menit onnet + 25menit allopr ,24500,24500,0,,3.0
140,axis,paket internet axis bronet 4g owsem,kuota data 1gb + 1gb (4g). masa aktif 30 hari.,20900,20900,3000,1gb+1gb,0.0
141,telkomsel,paket bicara telkomsel 20.000,350 menit onnet + 30 menit all operator. masa aktif 7 hari. kuota zona berlaku.,24450,24450,0,,0.0
142,axis,aigo bronet 24jam,"kuota utama 2gb, kuota lokal mulai 1gb berlaku di area tertentu, 30hari. cek kuota utama/lokal/sisa kuota di axisnet. unduh axisnet dari google play atau apple store. bronet 30hari tidak berlaku perpanjangan ",25900,25900,0,2gb,30.0
143,axis,paket kangen 100 menit,"kuota nelpon 100 menit ke semua operator, masa aktif 30 hari.",26400,26400,1500,,30.0
144,indosat,paket nelpon obrol sepuasnya ke sesama + 60 menit ke semua,nelp sepuasnya ke sesama im3 dan tri & 60 menit nelp ke operator lain. masa aktif 30 hari,24750,24750,0,,30.0
145,telkomsel,kuota maxstream,kuota maxstream 5gb + all network 1gb. masa aktif 30 hari,26500,26500,0,5gb,30.0
146,telkomsel,paket bicara telkomsel 25.000,550 menit nelpon ke sesama telkomsel dan 50 menit all operator. masa aktif 7 hari. kuota zona berlaku.,26500,26500,0,,0.0
147,telkomsel,telkomsel data smule,"kuota utama 	1gb internet, 1gb dpi musicmax, 30 hari smule vip, 30 hari.",26500,26500,0,1gb,0.0
148,telkomsel,paket bicara semua operator, 780menit onnet + 50menit allopr ,28500,28500,0,,7.0
149,telkomsel,paket data zoom,"kuota internet zoom 1.5gb, masa aktif 3 hari",25000,25000,0,,3.0
150,telkomsel,musicmax,"data package of 1.25 gb kuota national, 0.25 gb kuota youtube, 5 gb music apps dpi (spotify, joox, langit musik, resso, dezeer, smule, wesing, starmaker) bonus: langit musik premium 30 days + 2 nsp 30 days",26000,26000,0,,0.0
151,telkomsel,musicmax smule,"data package of 1.25 gb kuota national, 0.25 gb kuota youtube, 5 gb music apps dpi smule 32874 25,000 30 days bonus: voucher smule vip 30 days",26000,26000,0,,0.0
152,telkomsel,gamesmax unlimited play aov 25,"kuota 31,5 gb (kuota allnet 1 gb , dpi games 30 gb , youtube 500mb , bonus aov - 40 voucher) masa aktif 30 hari",26500,26500,0,,0.0
153,telkomsel,gamesmax unlimited play free fire 25,"kuota 31,5 gb (kuota allnet 1 gb , dpi games 30 gb , youtube 500mb , bonus free fire - 50 diamonds) masa aktif 30 hari",26500,26500,0,,0.0
154,telkomsel,gamesmax unlimited play google play 25,"kuota 31,5 gb (kuota allnet 1 gb , dpi games 30 gb , youtube 500mb , bonus kode voucher google play 5k) masa aktif 30 hari",26500,26500,0,,0.0
155,telkomsel,gamesmax unlimited play mobile legends 25,"kuota 31,5 gb (kuota allnet 1 gb , dpi games 30 gb , youtube 500mb , bonus mlbb - 56 diamonds) masa aktif 30 hari",26500,26500,0,,0.0
156,telkomsel,paket telpon (375-900 menit on net + 50 menit off net),paket telpon sampai dengan 900 menit ke sesama operator dan 50 menit ke operator lain. masa aktif 7 hari,27500,27500,0,,7.0
157,indosat,indosat paket unlimited nelpon sesama,paket telpon unlimited ke sesama operator. masa aktif 30 hari,27500,27500,0,,30.0
158,indosat,indosat paket unlimited nelpon sesama + 60 menit all,paket telpon unlimited ke sesama operator dan 60 menit ke semua operator. masa aktif 30 hari,28000,28000,0,,30.0
159,xl,paket internet xl hotrod,kuota utama 800mb (2g/3g/4g). masa aktif 30 hari.,29900,29900,100,800mb,0.0
160,xl,xtra bicara nelpon dan internet,paket xtra bicara nelpon dan internet. masa aktif 30 hari.,29400,29400,600,,30.0
161,axis,aigo bronet 24jam,"kuota utama 3gb, kuota lokal mulai 2gb berlaku di area tertentu, 30hari. cek kuota utama/lokal/sisa kuota di axisnet. unduh axisnet dari google play atau apple store. bronet 30hari tidak berlaku perpanjangan",32900,32900,0,3gb,30.0
162,telkomsel,paket internet mingguan 30k,"kuota 1,2gb sd 2,5gb",31325,31325,0,,0.0
163,indosat,freedom combo,"â¢ kuota utama 4gb+kuota malam 2gb, â¢ baru! kini dgn nelpon sepuasnya ke sesama im3 & tri+nelp operator lain 5menit. â¢ masa aktif 30 hari. â¢ pembelian paket akan menggantikan paket yg masih aktif.",30900,30900,0,6gb,30.0
164,indosat,freedom u,"â¢ kuota utama 1gb + kuota youtube, netflix, instagram, zoom & apps 4.5gb. â¢ kelebihan penggunaan apps akan menggunakan kuota utama. â¢ pulsa safe hingga 64kbps berlaku jika kuota utama habis. â¢ baru! kini dgn nelpon sepuasnya ke sesama im3 & tri. â¢ masa aktif 30 hari. â¢ pembelian paket akan menggantikan paket yg masih aktif.",30900,30900,0,5.5gb,30.0
165,axis,aigo bronet mini,"kuota utama 5gb, kuota lokal mulai 4gb dan bonus kuota video/sosmed/games di area tertentu, masa aktif paket 15hari. cek kuota utama/lokal/sisa kuota di axisnet. unduh axisnet dari google play atau apple store. bronet mini tidak berlaku perpanjangan",34900,34900,0,5gb,15.0
166,axis,paket internet axis bronet 4g owsem,kuota data 1gb + 3gb (4g). masa aktif 30 hari.,34250,34250,4650,1gb+3gb,0.0
167,xl,xtra bicara nelpon sms internet,"paket xtra bicara nelpon, sms dan internet. masa aktif 30 hari.",34300,34300,700,,30.0
168,telkomsel,paket data tinder,"paket data 1gb kuota nasiona, 1gb kuota tinder app, bonus tinder plus voucher all service valid for 30hari",35775,35775,0,,0.0
169,indosat,freedom internet,"â¢ kuota utama 6.5gb, masa aktif 30 hari â¢ bonus tambahan kuota zona hingga 6.5gb, jika registrasi paket di zona kuota plus freedom internet. infoâ im3.do/kuotaplusec â¢ baru! nelpon sepuasnya ke sesama im3 & tri, suara lebih jernih didukung jaringan volte â¢ pembelian paket akan menggantikan paket yg masih aktif",34900,34900,0,6.5gb,0.0
170,xl,anynet 150 menit,paket anynet 150 menit. masa aktif 30 hari.,39200,39200,800,,30.0
171,telkomsel,paket internethran 40k,kuota 4gb sd 17gb,41125,41125,0,,3.0
172,telkomsel,paket bicara sesama telkomsel, 3400 menit onnet ,44500,44500,0,,7.0
173,axis,owsem,"kuota utama 2gb + kuota malam 6gb (00-06). kuota musik 4gb + kuota sosmed 4gb + kuota gaming 1gb/hari (freefire, mobile legends, aov, asphalt legends, vainglory, modern combat 5), masa aktif 30 hari.",42500,42500,1400,16gb,30.0
174,indosat,freedom combo,"â¢ kuota utama 7gb+kuota malam 3gb, â¢ baru! kini dgn nelpon sepuasnya ke sesama im3 & tri+nelp semua operator 10menit. â¢ masa aktif 30 hari. â¢ pembelian paket akan menggantikan paket yg masih aktif.",41850,41850,0,10gb,30.0
175,telkomsel,paket telpon (1.500-3.700 menit on net),paket telpon sampai dengan 3.700 menit ke sesama operator. masa aktif 7 hari,44000,44000,0,,7.0
176,axis,aigo bronet 24jam,"kuota utama 5gb, kuota lokal mulai 3gb berlaku di area tertentu, 30hari. cek kuota utama/lokal/sisa kuota di axisnet. unduh axisnet dari google play atau apple store. bronet 30hari tidak berlaku perpanjangan.",47900,47900,0,5gb,30.0
177,telkomsel,paket internet mingguan 45k,"kuota 2,5gb sd 6gb",46600,46600,0,,0.0
178,xl,paket internet xl hotrod,kuota utama 1.5gb (2g/3g/4g). masa aktif 30 hari.,48885,48885,1115,1.5gb,0.0
179,indosat,paket nelpon obrol sepuasnya ke sesama + 250 menit ke semua,nelp sepuasnya ke sesama im3 dan tri & 250 menit nelp ke operator lain. masa aktif 30 hari,49000,49000,0,,30.0
180,tri,internet,2gb semua jaringan + 8gb 4g + akses klikfilm 30 hari,67500,67500,0,10gb,30.0
181,telkomsel,paket data zoom,"kuota internet zoom 4gb, masa aktif 7 hari",50000,50000,0,,7.0
182,telkomsel,gamesmax unlimited play aov 50,"kuota 33,5 gb (kuota allnet 2 gb , dpi games 30 gb , youtube 1.5gb ,bonus bonus aov - 90 voucher) masa aktif 30 hari",51500,51500,0,,0.0
183,telkomsel,gamesmax unlimited play free fire 50,"kuota 33,5 gb (kuota allnet 2 gb , dpi games 30 gb , youtube 1.5gb ,bonus free fire - 140 diamond) masa aktif 30 hari",51500,51500,0,,0.0
184,telkomsel,gamesmax unlimited play google play 50,"kuota 33,5 gb (kuota allnet 2 gb , dpi games 30 gb , youtube 1.5gb ,bonus kode voucher google play 20k) masa aktif 30 hari",51500,51500,0,,0.0
185,telkomsel,gamesmax unlimited play mobile legends 50,"kuota 33,5 gb (kuota allnet 2 gb , dpi games 30 gb , youtube 1.5gb , bonus mlbb - 85 diamonds) masa aktif 30 hari",51500,51500,0,,0.0
186,indosat,freedom u,"â¢ kuota utama 2gb + kuota youtube, netflix, instagram, zoom & apps 8gb. â¢ kelebihan penggunaan apps akan menggunakan kuota utama. â¢ pulsa safe hingga 64kbps berlaku jika kuota utama habis. â¢ baru! kini dgn nelpon sepuasnya ke sesama im3 & tri. â¢ masa aktif 30 hari. â¢ pembelian paket akan menggantikan paket yg masih aktif.",51500,51500,0,10gb,30.0
187,axis,owsem,"kuota utama 3gb + kuota malam 9gb (00-06), kuota musik 6gb + kuota sosmed 6gb + kuota gaming 1gb/hari (freefire, mobile legends, aov, asphalt legends, vainglory, modern combat 5). masa aktif 30 hari. ",54900,54900,1000,24gb,30.0
188,axis,paket internet axis bronet 4g owsem,kuota data 2gb + 6gb (4g). masa aktif 30 hari.,54500,54500,7400,2gb+6gb,0.0
189,telkomsel,paket bicara telkomsel 50.000,1000 menit onnet + 100 menit all operator. masa aktif 30 hari. kuota zona berlaku.,59300,59300,0,,0.0
190,xl,paket internet xl hotrod,kuota utama 3gb (2g/3g/4g). masa aktif 30 hari.,58712,58712,1288,3gb,0.0
191,xl,anynet 250 menit,paket anynet 250menit. masa aktif 30 hari.,58800,58800,1200,,30.0
192,axis,aigo bronet 24jam,"kuota utama 8gb, kuota lokal mulai 4gb berlaku di area tertentu, 30hari. cek kuota utama/lokal/sisa kuota di axisnet. unduh axisnet dari google play atau apple store. bronet 30hari tidak berlaku perpanjangan",64900,64900,0,8gb,30.0
193,axis,owsem,"	kuota utama 4 gb, kuota malam 12gb (00-06), kuota music 8gb, sosmed 8gb, gaming kuota 1gb/hari (freefire, mobile legends, aov, asphalt legends, vainglory, modern combat 5). masa aktif 30 hari. ",63500,63500,2400,32gb,30.0
194,indosat,freedom combo,â¢ kuota utama 15gb+kuota malam 5gb. â¢ baru! kini dgn nelpon sepuasnya ke sesama im3 & tri+nelp ke oprtr lain 15menit. â¢ masa aktif 30 hari. â¢ pembelian paket akan menggantikan paket yg masih aktif.,63780,63780,0,20gb,30.0
195,tri,internet,2gb semua jaringan + 8gb 4g + akses viu 30 hari.,67500,67500,0,10gb,30.0
196,axis,paket internet axis bronet,kuota 8gb (2g/3g/4g) 24jam. masa aktif 60 hari.,71750,71750,4150,8gb,0.0
197,axis,paket internet axis bronet 4g owsem,kuota data 3gb + 9gb (4g). masa aktif 30 hari.,68500,68500,12400,3gb+9gb,0.0
198,tri,addon,2gb (semua jaringan 24jam) + 15gb (500mb/hari) + 15gb (01-17) 30 hari,72000,72000,0,32gb,0.0
199,xl,anynet 325 menit,paket anynet 325 menit. masa aktif 30 hari.,73500,73500,1500,,30.0
200,indosat,freedom u,"â¢ kuota utama 3gb + kuota youtube, netflix, instagram, zoom & apps 17gb. â¢ kelebihan penggunaan apps akan menggunakan kuota utama. â¢ pulsa safe hingga 64kbps berlaku jika kuota utama habis. â¢ baru! kini dgn nelpon sepuasnya ke sesama im3 & tri. â¢ masa aktif 30 hari. â¢ pembelian paket akan menggantikan paket yg masih aktif.",73000,73000,0,20gb,30.0
201,telkomsel,paket internet bulanan omg! 75k,kuota 4gb sd 13gb + 2gb omg!,78000,78000,0,,0.0
202,telkomsel,gamesmax unlimited play aov 75,"kuota 36 gb (kuota allnet 4 gb , dpi games 30 gb , youtube 2gb , bonus bonus aov - 230 voucher) masa aktif 30 hari",77875,77875,0,,0.0
203,telkomsel,gamesmax unlimited play free fire 75,"kuota 36 gb (kuota allnet 4 gb , dpi games 30 gb , youtube 2gb , bonus free fire - 355 diamonds) masa aktif 30 hari",77875,77875,0,,0.0
204,telkomsel,gamesmax unlimited play google play 75,"kuota 36 gb (kuota allnet 4 gb , dpi games 30 gb , youtube 2gb , bonus kode voucher google play 50k) masa aktif 30 hari",77875,77875,0,,0.0
205,telkomsel,gamesmax unlimited play mobile legends 75,"kuota 36 gb (kuota allnet 4 gb , dpi games 30 gb , youtube 2gb , bonus mlbb - 169 diamonds) masa aktif 30 hari",77875,77875,0,,0.0
206,axis,owsem,"kuota utama 6 gb, kuota malam 18gb (00-06), kuota music 12gb, sosmed 12gb, gaming kuota 1gb/hari (freefire, mobile legends, aov, asphalt legends, vainglory, modern combat 5). masa aktif 30 hari.",81500,81500,2400,48gb,30.0
207,axis,paket internet axis bronet,kuota 10gb (2g/3g/4g) 24jam. masa aktif 60 hari.,87900,87900,0,10gb,60.0
208,tri,addon,8gb (semua jaringan 24jam) + 15gb (500mb/hari) + 15gb (01-17) 30 hari,82000,82000,0,38gb,0.0
209,indosat,freedom combo,â¢ kuota utama 23gb+kuota malam 7gb. â¢ baru! kini dgn nelpon sepuasnya ke sesama im3 & tri+nelp ke oprtr lain 20 menit. â¢ masa aktif 30 hari. â¢ pembelian paket akan menggantikan paket yg masih aktif.,85330,85330,0,30gb,30.0
210,telkomsel,paket bicara semua operator,1500-1400 onnet + 100 mins all opr 14 hari,88750,88750,0,,30.0
211,telkomsel,paket telpon (1.400-3.900 menit on net + 100 menit off net),paket telpon sampai dengan 3.900 menit ke sesama operator dan 100 menit ke operator lain. masa aktif 30 hari,94500,94500,0,,30.0
212,axis,paket internet axis bronet,kuota 12gb (2g/3g/4g) 24jam. masa aktif 60 hari.,97900,97900,0,12gb,60.0
213,axis,owsem,"	kuota utama 10 gb, kuota malam 30gb (00-06), kuota music 20gb, sosmed 20gb, gaming kuota 1gb/hari (freefire, mobile legends, aov, asphalt legends, vainglory, modern combat 5). masa aktif 30 hari.",102500,102500,2400,80gb,30.0
214,xl,paket internet xl hotrod,kuota utama 6gb (2g/3g/4g). masa aktif 30 hari.,97900,97900,2100,6gb,0.0
215,xl,anynet 300 menit,paket anynet 300 menit. masa aktif 90 hari.,97900,97900,2100,,90.0
216,telkomsel,kuota maxstream,kuota maxstream 20gb + all network 4gb. masa aktif 30 hari,104500,104500,0,20gb,30.0
217,telkomsel,paket bicara sesama telkomsel,3650 min onnet-3600 onnet 14 hari,123575,123575,0,,30.0
218,telkomsel,paket telpon (3.600-10.100 menit on net),paket telpon sampai dengan 10.100 menit ke sesama operator. masa aktif 30 hari,113000,113000,0,,30.0
219,telkomsel,paket internet bulanan omg! 110k,kuota 7gb sd 23gb + 2gb omg!,114500,114500,0,,0.0
220,axis,paket internet axis bronet,kuota 16gb (2g/3g/4g) 24jam. masa aktif 60 hari.,119900,119900,0,16gb,60.0
221,xl,paket internet xl hotrod,kuota utama 8gb (2g/3g/4g). masa aktif 30 hari.,127895,127895,2105,8gb,0.0
222,telkomsel,paket data zoom,"kuota internet zoom 15gb, masa aktif 30 hari",132400,132400,0,,30.0
223,xl,anynet 500 menit,paket anynet 500 menit. masa aktif 30 hari.,137200,137200,2800,,30.0
224,telkomsel,paket telpon (4.700-10.200 menit on net + 200 menit off net),paket telpon sampai dengan 10.200 menit ke sesama operator dan 200 menit ke operator lain. masa aktif 30 hari,148000,148000,0,,30.0
225,tri,home, kuota utama 15gb + 60gb (weekend) + 75gb (01:00 - 17:00).masa aktif 30 hari ,143500,143500,0,150gb,0.0
226,xl,paket anynet 500 menit,paket anynet 500 menit. masa aktif 90 hari.,144000,144000,6000,,90.0
227,telkomsel,kuota maxstream,kuota maxstream 30gb + all network 10gb. masa aktif 30 hari,158200,158200,0,30gb,30.0
228,telkomsel,paket internet bulanan omg! 160k,kuota 19gb sd 48gb + 2gb omg!,165750,165750,0,,0.0
229,indosat,freedom combo,â¢ kuota utama 45gb+kuota malam 15gb. â¢ baru! kini dgn nelpon sepuasnya ke sesama im3 & tri+nelp ke oprtr lain 30 menit. â¢ masa aktif 30 hari. â¢ pembelian paket akan menggantikan paket yg masih aktif.,162600,162600,0,60gb,30.0
230,xl,paket internet xl hotrod,kuota utama 12gb (2g/3g/4g). masa aktif 30 hari.,175895,175895,4105,12gb,0.0
231,telkomsel,paket internet bulanan omg! 210k,kuota 43gb sd 83gb + 2gb omg!,217025,217025,0,,0.0
232,xl,paket internet xl hotrod,kuota utama 16gb (2g/3g/4g). masa aktif 30 hari.,215000,215000,5000,16gb,0.0
233,xl,paket akrab,160gb kuota bersama + bonus kuota pribadi hingga 75gb per anggota + unlimited kuota aplikasi produktivitas + unlimited nelpon & sms ke xl/axis + bonus pulsa 100.000. detail area bisa dilihat di xl.co.id/akrab,515000,515000,0,460gb,0.0
