No,Operator,Name,Description,Normal Price,Price,Discount
1,XL,"Xtra Hotrod Special 2GB, 7hr",Kuota Utama 500MB + Kuota Area hingga 3.5GB + YouTube 24jam 1.5GB. Masa aktif 7 hari. Tidak berlaku perpanjangan otomatis.,12000,11200,800
2,XL,"Xtra Hotrod Special 3GB, 7hr",Kuota Utama 1GB + Kuota Area hingga 6GB + YouTube 24jam 2GB. Masa aktif 7 hari. Tidak berlaku perpanjangan otomatis.,15000,14000,1000
3,Axis,BRONET Mini 1.5GB 7 hari,Kuota Internet 1.5GB berlaku di semua Jaringan 2G/3G/4G (NATIONAL Wide) dari jam 00-23.59 untuk 7 hari,14850,13973,877
4,Telkomsel,"Telkomsel Data Flash 1GB, 30Hr","Kuota utama 1GB, masa aktif 30 Hari",24280,23550,730
5,Axis,BRONET Mini 2GB 7 hari,Kuota Internet 2GB berlaku di semua Jaringan 2G/3G/4G (NATIONAL Wide) dari jam 00-23.59 untuk 7 hari,18849,16357,2492
6,XL,"Xtra Hotrod Special 4.5GB, 7hr",Kuota Utama 1.5GB + Kuota Area hingga 8.5GB + YouTube 24jam 3GB. Masa aktif 7 hari. Tidak berlaku perpanjangan otomatis.,20000,18725,1275
7,Axis,AIGO Bronet Mini 3GB 15hr,"Kuota Utama 3GB, Kuota Lokal mulai 2GB dan Bonus kuota video/sosmed/games di area tertentu, masa aktif paket 15hari. Cek Kuota Utama/Lokal/sisa kuota di AXISnet. Unduh AXISnet dari Google Play atau Apple Store. Bronet Mini tidak berlaku perpanjangan",22900,21050,1850
8,Axis,Paket Internet Axis BRONET 2GB 60 Hari,Kuota 2GB (2G/3G/4G) 24Jam. Masa aktif 60 hari.,29400,26875,2525
9,Axis,BRONET Mini 5GB 7 hari,Kuota Internet 5GB berlaku di semua Jaringan 2G/3G/4G (NATIONAL Wide) dari jam 00-23.59 untuk 7 hari,29900,26300,3600
10,Axis,BRONET Mini 8GB 7 hari,Kuota Internet 8GB berlaku di semua Jaringan 2G/3G/4G (NATIONAL Wide) dari jam 00-23.59 untuk 7 hari,34900,32450,2450
11,Axis,Paket Internet Axis BRONET 3GB 60 Hari NEW!,Kuota 3GB (2G/3G/4G) 24Jam. Masa aktif 60 hari.,36999,33850,3149
12,Telkomsel,Telkomsel Data Flash 2GB,"2GB All Network, bebas zona, masa aktif 30 hari.",49980,47250,2730
13,Telkomsel,Telkomsel Data Flash 3GB,"3GB All Network, bebas zona, masa aktif 30 hari.",57980,54500,3480
14,XL,Xtra Combo Flex Basic 4GB + Kuota Area Hingga 1.5GB + Bonus Flex,5GB Kuota Utama + Kuota Area hingga 5GB + 5Min Nelpon ke Semua Operator + Ambil bonus Kuota Utama/Xtra Unlimited Turbo/Vidio Platinum di myXL. Masa aktif Paket 30hr. Info lanjut di xl.co.id/xcfm,45000,41225,3775
15,XL,"Akrab 28GB, 2 Anggota, 30hr",10GB Kuota Bersama + Bonus Kuota Pribadi hingga 9GB per Anggota + Unlimited Kuota Aplikasi + Unlimited Nelpon & SMS ke XL/AXIS. Cek Kuota Pribadi di areamu xl.co.id/akrab,62000,60475,1525
16,XL,Xtra Combo Flex Plus 10GB + Kuota Area Hingga 14GB + Bonus Flex,10GB Kuota Utama + Kuota Area hingga 14GB + 20Min Nelpon ke Semua Operator + Ambil bonus Kuota Utama/Xtra Unlimited Turbo/Vidio Platinum di myXL. Masa aktif Paket 30hr. Info lanjut di xl.co.id/xcfm,65000,61750,3250
17,Indosat,Freedom Internet 18GB / 30 Hari + Bonus Kuota Zona Hingga 18GB,"• Kuota Utama 18GB, masa aktif 30 hari • Bonus tambahan kuota zona hingga 18GB, jika registrasi paket di zona kuota plus Freedom Internet. Info im3.do/kuotaplusec • Baru! Nelpon sepuasnya ke sesama IM3 & Tri, suara lebih jernih didukung jaringan VoLTE • Pembelian paket akan menggantikan paket yang masih aktif",65900,62700,3200
18,Telkomsel,Telkomsel Data Flash 4GB,"4GB All Network, bebas zona, masa aktif 30 hari.",77480,69500,7980
19,Indosat,Freedom Internet 28GB / 30 Hari + Bonus Kuota Zona Hingga 28GB,"• Kuota Utama 28GB, masa aktif 30 hari • Bonus tambahan kuota zona hingga 28GB, jika registrasi paket di zona kuota plus Freedom Internet. Info im3.do/kuotaplusec • Baru! Nelpon sepuasnya ke sesama IM3 & Tri, suara lebih jernih didukung jaringan VoLTE • Pembelian paket akan menggantikan paket yang masih aktif",87400,83600,3800
20,Indosat, Freedom U 45GB / 30 Hari,"• Kuota utama 10GB + Kuota Youtube, Netflix, Instagram, Zoom & Apps 35GB. • Kelebihan Penggunaan Apps akan menggunakan kuota utama. • Pulsa Safe hingga 64Kbps berlaku jika kuota utama habis. • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.",105500,101650,3850
21,Indosat,Freedom Internet 44GB / 30 Hari + Bonus Kuota Zona Hingga 44GB,"• Kuota Utama 44GB, masa aktif 30 hari • Bonus tambahan kuota zona hingga 44GB, jika registrasi paket di zona kuota plus Freedom Internet. Info im3.do/kuotaplusec • Baru! Nelpon sepuasnya ke sesama IM3 & Tri, suara lebih jernih didukung jaringan VoLTE • Pembelian paket akan menggantikan paket yang masih aktif",109750,104500,5250
22,XL,Xtra Combo Flex Ultra 35GB + Kuota Area Hingga 40GB + Bonus Flex,35GB Kuota Utama + Kuota Area hingga 40GB + 40Min Nelpon ke Semua Operator + Ambil bonus Kuota Utama/Xtra Unlimited Turbo/Vidio Platinum di myXL. Masa aktif Paket 30hr. Info lanjut di xl.co.id/xcfm,135000,120150,14850
23,XL,Xtra Combo Flex Supreme 48GB + Kuota Area Hingga 67GB + Bonus Flex,48GB Kuota Utama + Kuota Area hingga 67GB + 60Min Nelpon ke Semua Operator + Ambil bonus Kuota Utama/Xtra Unlimited Turbo/Vidio Platinum di myXL. Masa aktif Paket 30hr. Info lanjut di xl.co.id/xcfm,185000,164650,20350
24,XL,"Xtra Edukasi 2GB, 1hr","Kuota utama 2GB, Dapat digunakan di jaringan 2G/3G/4G dari jam 00.00-24.00 WIB, Kuota dapat digunakan untuk mengakses Rumah Belajar Kemendikbud, Spada Indonesia Kemendikbud, Ruang Guru, Zenius, Sekolahmu, dan website Lembaga Pendidikan dan Universitas.Daftar website dan aplikasi lengkap cek di www.xl.co.id, Masa aktif 1 hari",1938,1938,62
25,XL,"Xtra Edukasi 5GB, 3hr","Kuota utama 5GB, Dapat digunakan di jaringan 2G/3G/4G dari jam 00.00-24.00 WIB, Kuota dapat digunakan untuk mengakses Rumah Belajar Kemendikbud, Spada Indonesia Kemendikbud, Ruang Guru, Zenius, Sekolahmu, dan website Lembaga Pendidikan dan Universitas.Daftar website dan aplikasi lengkap cek di www.xl.co.id, Masa aktif 3 hari",3435,3435,65
26,Axis,BRONET 24 Jam 1GB 1 Hr + Bonus Lokal Kuota," Main Kuota 1GB 1 hari selama 24Jam di semua Jaringan 2G/3G/4G,  Main Kuota 1GB 1 hari selama 24Jam di semua Jaringan 2G/3G/4G, Cek Lokal Kuota di website axis.co.id",3850,3850,0
27,XL,"Paket Blue 1GB, 2hr",Kuota Utama 1 GB Masa Aktif 2 hari,4900,4900,0
28,XL,XL Pure 500MB 30 hari,"Internet 500MB, masa aktif 30 hari.",9250,9250,0
29,Telkomsel,Paket Bicara Telkomsel 5.000,80 menit Onnet + 20 menit all operator. Masa aktif 1 hari. Kuota zona berlaku.,7750,7750,0
30,XL,"Xtra Edukasi 15GB, 7hr","Kuota utama 15GB, Dapat digunakan di jaringan 2G/3G/4G dari jam 00.00-24.00 WIB, Kuota dapat digunakan untuk mengakses Rumah Belajar Kemendikbud, Spada Indonesia Kemendikbud, Ruang Guru, Zenius, Sekolahmu, dan website Lembaga Pendidikan dan Universitas.Daftar website dan aplikasi lengkap cek di www.xl.co.id, Masa aktif 7 hari",8300,8300,700
31,XL,XL Pure 800MB 30 hari,"Internet 800MB, masa aktif 30 hari.",16500,16500,0
32,Axis,"Axis Data 500MB, 30 hari","Data 500MB, masa aktif 30 hari",10000,10000,0
33,Axis,AIGO Bronet Mini 1GB 5hr,"Kuota Utama 1GB, Kuota Lokal mulai 0,5GB dan Bonus kuota video/sosmed/games di area tertentu, masa aktif paket 5hari. Cek Kuota Utama/Lokal/sisa kuota di AXISnet. Unduh AXISnet dari Google Play atau Apple Store. Bronet Mini tidak berlaku perpanjangan",10400,10400,0
34,XL,"Paket Blue 3GB, 2hr",Kuota Utama 3 GB Masa Aktif 2 hari,9850,9850,0
35,Smartfren,Smartfren Internet Volume 4GB,"Untuk Smartphone & Mifi, Kuota 24 jam 1.25 GB, Kuota Malam 1.75 GB (01.00-04.59), Chat 1GB, Free On Net Call, Masa berlaku 7 Hari",10000,10000,0
36,XL,XL Pure 1GB 30 hari,"Internet 1GB, masa aktif 30 hari.",18000,18000,0
37,Axis,BRONET Mini 1GB 7 hari,Kuota Internet 1GB berlaku di semua Jaringan 2G/3G/4G (NATIONAL Wide) dari jam 00-23.59 untuk 7 hari,13900,13900,0
38,XL,XTRA ON 1GB,"Kuota utama 1GB,  Dapat digunakan di jaringan 2G/3G/4G dari jam 00.00-24.00 WIB, Masa aktif Unlimite",13940,13940,1060
39,Indosat,Freedom Internet 5GB/5 Hari,"""• Kuota Utama 5GB, masa aktif 5 Hari.  • Pembelian paket akan menggantikan paket yg masih aktif.""",14900,14900,0
40,Axis,"Axis Data 800MB, 30 hari","Data 800MB, masa aktif 30 hari",17500,17500,0
41,Axis,"Axis Data 1GB, 30 hari","Data 1GB, masa aktif 30 hari",18500,18500,0
42,Smartfren,Smartfren Internet Volume 6GB,"Untuk Smartphone & Mifi, Kuota 24 jam 2 GB, Kuota Malam 3 GB (01.00-04.59), Chat Chat 1GB, Free On Net Call, Masa berlaku 30 Hari",19700,19700,0
43,Indosat,Freedom Internet 7GB/7 Hari,"""• Kuota Utama 7GB, masa aktif 7 Hari.  • Pembelian paket akan menggantikan paket yg masih aktif.""",19900,19900,0
44,XL,XL Pure 2GB 30 hari,"Internet 2GB, masa aktif 30 hari.",33250,33250,0
45,Smartfren,SMART DATA UNLIMITED 4G 7HARI,"Unlimited 1GB/Day FUP*, Masa Aktif 7 Hari",22500,22500,0
46,Tri,Tri Happy 5GB,"5GB (semua jaringan 24 jam) masa aktif 7 hari. Pembelian lebih dari satu kali atau Paket Happy Lainnya, sisa kuota akan reset dan tergantikan oleh Paket Happy yang terbaru. Berhenti berlangganan ketik STOP MINGGUAN kirim ke 234.",25000,25000,0
47,XL,XTRA ON 2GB,"Kuota utama 2GB,  Dapat digunakan di jaringan 2G/3G/4G dari jam 00.00-24.00 WIB, Masa aktif Unlimited",22750,22750,2250
48,Axis,BRONET Mini 3GB 7 hari,Kuota Internet 3GB berlaku di semua Jaringan 2G/3G/4G (NATIONAL Wide) dari jam 00-23.59 untuk 7 hari,24900,24900,0
49,XL,"Xtra Hotrod Special 6.5GB, 7hr",Kuota Utama 2GB + Kuota Area hingga 12.5GB + YouTube 24jam 4.5GB. Masa aktif 7 hari. Tidak berlaku perpanjangan otomatis.,25000,25000,0
50,XL,XL Pure 3GB 30 hari,"Internet 3GB, masa aktif 30 hari.",52000,52000,0
51,Smartfren,Smartfren Internet Volume 10GB,"Untuk Smartphone & Mifi, Kuota 24 jam 4 GB, Kuota Malam 4 GB (01.00-04.59), Chat 2GB, Free On Net Call, Masa berlaku 30 Hari",30000,30000,0
52,Axis,"Axis Data 2GB, 30 hari","Data 2GB, masa aktif 30 hari",32050,32050,0
53,Telkomsel,"Telkomsel Data Flash 2GB, 7 Hr"," Kuota utama 2GB, masa aktif 7 Hari",49980,49980,0
54,Axis,"AXIS+ Bronet 24Jam 1GB 30hr, 6bln","Paket AXIS+ 24Jam 1GB 30hr, 6bln Kuota utama 1GB di 2G/3G/4G & Bonus 2GB Sosmed/ Chat perbulan selama 6 Bulan",36500,36500,3500
55,Smartfren,Smartfren Internet Volume 16GB,"Untuk Smartphone & Mifi, Kuota 24 jam 6 GB, Kuota Malam 8 GB (01.00-04.59), Chat 2 GB, Free On Net Call, Masa berlaku 30 Hari",38900,38900,0
56,Smartfren,Super 4G Unlimited 40K,"Unlimited 4G Data berlaku 24 jam, FUP 1GB per hari, Masa berlaku 14 hari (non MIFI)",40500,40500,0
57,Tri,AON 9GB,"Kuota AlwaysOn = 9GB, aktif selamanya (mengikuti masa aktif kartu). Menambah masa aktif kartu 90 hari. Maksimal masa aktif kartu 365 hari.",42500,42500,0
58,Telkomsel,Paket Bicara Telkomsel 40.000,1700 menit On Net. Masa aktif 7 hari.,42725,42725,0
59,Smartfren,Unlimited Nonstop 45RB,"Kuota Utama 12GB Unlimited,Masa aktif 30 hari,Gratis akses ke aplikasi tertentu,Gratis nelpon ke sesama Smartfren",44500,44500,0
60,Smartfren,Kuota Nonstop 10GB,"Kuota utama 10GB + Nonstop, Gratis nelpon HD sesama Smartfren & 28 hari masa aktif",45700,45700,0
61,Axis,"Axis Data 3GB, 30 hari","Data 3GB, masa aktif 30 hari",48070,48070,0
62,Axis,Paket Internet Axis BRONET 5GB 60 Hari NEW!,Kuota 5GB (2G/3G/4G) 24Jam. Masa aktif 60 hari.,54900,54900,0
63,Telkomsel,PAKET INTERNET BULANAN OMG! 55K,"KUOTA 3,3 GB sd 7 GB + 1 GB OMG!",56500,56500,0
64,XL,"XTRA Combo 5GB+10GB, Double Youtube, 30hr","5GB Kuota Utama + 10GB Kuota Youtube (00:24 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 20 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota (Max. 1GB) dapat digunakan di bulan berikutnya.",59000,59000,0
65,Smartfren,Smartfren Internet Volume 30 GB,"Untuk Smartphone & Mifi, Kuota 24 jam 10 GB, Kuota Malam 20 GB (01.00-04.59), Free On Net Call Masa berlaku 30 Hari",58500,58500,0
66,XL,XL Data 4GB,"Kuota 4GB, 24 jam. Masa aktif 30 hari",60750,60750,0
67,Axis,"Axis Data 4GB, 30 hari","Data 4GB, masa aktif 30 hari",63320,63320,0
68,Telkomsel,Telkomsel Data Flash 5GB,Kuota utama 5GB,88980,88980,0
69,XL,"XTRA Combo VIP 5GB+10GB, Double Youtube, 30hr","5GB Kuota Utama + 10GB Kuota Youtube (00:00 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 20 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",69000,69000,0
70,Axis,BRONET 24Jam 8GB + Games 2GB,"Paket Internet Axis 8GB 24Jam all Network + 2GB Games (Freefire/Mobile Legend/AOV/Vainglory/L2R/ModernCombats/HAGO/ASPALT9), selama 60 hari",69500,69500,6400
71,Axis,BRONET 24Jam 8GB 60D + Sosmed 2GB 30D,"Paket Internet Axis 8GB 24Jam all Network, 60hr + 2GB SosMed 30hr (Facebook/Instagram/Twitter/Tiktok)",67500,67500,8400
72,Smartfren,Unlimited Nonstop 70RB,"Kuota Utama 30GB Unlimited,Masa aktif 30 hari,Gratis akses ke aplikasi tertentu,Gratis nelpon ke sesama Smartfren",69500,69500,0
73,Axis,"AXIS+ Bronet 24Jam 2GB 30hr, 6bln","Paket AXIS+ 24Jam 2GB 30hr, 6bln Kuota utama 2GB di 2G/3G/4G & Bonus 5GB Sosmed/ Chat perbulan selama 6 Bulan",71000,71000,4000
74,Axis,"AXIS+ Bronet 24Jam 1GB 30hr, 12bln","Paket AXIS+ 24Jam 1GB 30hr, 12bln Kuota utama 1GB di 2G/3G/4G & Bonus 2GB Sosmed/ Chat perbulan selama 12 Bulan",77000,77000,8000
75,XL,XL Data 5GB,"Kuota 5GB, 24 jam. Masa aktif 30 hari",79500,79500,0
76,Axis,"Axis Data 5GB, 30 hari","Data 5GB, masa aktif 30 hari",79570,79570,0
77,Axis,BRONET 24Jam 10GB + Games 2GB,"Paket Internet Axis 10GB 24Jam all Network + 2GB Games (Freefire/Mobile Legend/AOV/Vainglory/L2R/ModernCombats/HAGO/ASPALT9), selama 60 hari",79700,79700,8200
78,Axis,BRONET 24Jam 10GB 60D + Sosmed 2GB 30D,"Paket Internet Axis 10GB 24Jam all Network, 60hr + 2GB SosMed 30hr (Facebook/Instagram/Twitter/Tiktok)",79500,79500,8400
79,Smartfren,Super 4G Unlimited 80K,Unlimited 1GB+1GB /day FUP. Active period 28 days.,81500,81500,0
80,XL,"XTRA Combo 10GB+20GB, Double Youtube, 30hr","10GB Kuota Utama + 20GB Kuota Youtube (00:24 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 30 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota (Max. 1GB) dapat digunakan di bulan berikutnya.",89000,89000,0
81,Axis,"AXIS+ Bronet 24Jam 3GB 30hr, 6bln","Paket AXIS+ 24Jam 3GB 30hr, 6bln Kuota utama 3GB di 2G/3G/4G & Bonus 7GB Sosmed/ Chat perbulan selama 6 Bulan",87000,87000,8000
82,Axis,BRONET 24Jam 12GB + Games 2GB,"Paket Internet Axis 12GB 24Jam all Network + 2GB Games (Freefire/Mobile Legend/AOV/Vainglory/L2R/ModernCombats/HAGO/ASPALT9), selama 60 hari",90000,90000,7900
83,Axis,BRONET 24Jam 12GB 60D + Sosmed 2GB 30D,"Paket Internet Axis 12GB 24Jam all Network, 60hr + 2GB SosMed 30hr (Facebook/Instagram/Twitter/Tiktok)",89000,89000,8900
84,Telkomsel,Combo OMG 5.5 GB,4 GB LOCAL + 05 GB ALLNET + 2 GB OMG + 100 MENIT VOICE + 60 SMS,93650,93650,0
85,XL,Xtra Combo Flex Super 20GB + Kuota Area Hingga 22GB + Bonus Flex,20GB Kuota Utama + Kuota Area hingga 22GB + 30Min Nelpon ke Semua Operator + Ambil bonus Kuota Utama/Xtra Unlimited Turbo/Vidio Platinum di myXL. Masa aktif Paket 30hr. Info lanjut di xl.co.id/xcfm,95000,95000,0
86,XL,"XTRA Combo VIP 10GB+20GB, Double Youtube, 30hr","10GB Kuota Utama + 20GB Kuota Youtube (00:00 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 30 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",99000,99000,0
87,Indosat, Freedom U 35GB / 30 Hari,"• Kuota utama 7GB + Kuota Youtube, Netflix, Instagram, Zoom & Apps 28GB. • Kelebihan Penggunaan Apps akan menggunakan kuota utama. • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.",94900,94900,0
88,Smartfren,Smartfren Internet Volume 60 GB,"Untuk Smartphone & Mifi, Kuota 24 jam 20 GB, Kuota Malam 40 GB (01.00-04.59), Free On Net Call    & SmartMusic Subscription, Masa berlaku 30 Hari",98000,98000,0
89,Smartfren,Unlimited Nonstop 100RB,"Kuota Utama 45GB Unlimited,Masa aktif 30 hari,Gratis akses ke aplikasi tertentu,Gratis nelpon ke sesama Smartfren",97500,97500,0
90,XL,"Internet Umroh & Haji 1GB+1GB, 45hr",1GB Kuota Utama untuk di Indonesia + 1GB Kuota Utama untuk di Arab Saudi. Masa aktif 45 hari. Syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,99000,99000,0
91,XL,"Nelpon Umroh & Haji, 60hr",50 Min Nelpon ke Indonesia / Arab Saudi dan Terima telepon + 10 SMS. Masa aktif 60 hari. Syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,99000,99000,0
92,Smartfren,Super 4G Unlimited Bulanan 100K,Unlimited 1.5GB+1.5GB /day FUP. Active period 28 days.,99900,99900,0
93,Indosat,Freedom Internet 42GB / 30 hari,Kuota Utama 42GB berlaku 30 hari. Rp100rb/30hr.,100000,100000,0
94,Indosat, Freedom Combo 40GB / 30 Hari,• Kuota Utama 30GB+Kuota Malam 10GB. • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri+Nelp ke Oprtr Lain 30 Menit. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.,107280,107280,0
95,Indosat, Freedom Combo 40GB / 30 Hari,• Kuota Utama 30GB+Kuota Malam 10GB. • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri+Nelp ke Oprtr Lain 30 Menit. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.,107280,107280,0
96,Indosat,Freedom Internet Sensasi 50GB / 30 Hari,"Freedom Internet Sensasi 50GB/ 30 hari PROMO Freedom Internet Sensasi  . Kuota Utama 50GB, masa aktif 30 hari . Nelpon Sepuasnya ke sesama IM3 & Tri . Pembelian paket akan menggantikan paket yang masih aktif",107500,107500,0
97,Telkomsel,Paket Bicara Telkomsel 100.000,9000 menit On Net. Masa aktif 30 hari. Kuota zona berlaku.,112250,112250,0
98,XL,"Akrab 63GB, 2 Anggota, 30hr",25GB Kuota Bersama + Bonus Kuota Pribadi hingga 19GB per Anggota + Unlimited Kuota Aplikasi + Unlimited Nelpon & SMS ke XL/AXIS. Cek Kuota Pribadi di areamu xl.co.id/akrab,125000,125000,0
99,Smartfren,Unlimited Nonstop 125RB,"Kuota Utama 60GB Unlimited,Masa aktif 30 hari,Gratis akses ke aplikasi tertentu,Gratis nelpon ke sesama Smartfren",124500,124500,0
100,XL,XL Data 8GB,"Kuota 8GB, 24 jam. Masa aktif 30 hari",123500,123500,0
101,Axis,"Axis Data 8GB, 30 hari","Data 8GB, masa aktif 30 hari",123500,123500,0
102,XL,"XTRA Combo 15GB+30GB, Double Youtube, 30hr","15GB Kuota Utama + 30GB Kuota Youtube (00:24 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 40 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota (Max. 1GB) dapat digunakan di bulan berikutnya.",129000,129000,0
103,XL,"XTRA Combo VIP 15GB+30GB, Double Youtube, 30hr","15GB Kuota Utama + 30GB Kuota Youtube (00:00 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 40 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",139000,139000,0
104,Indosat,Freedom Internet Sensasi 100GB / 30 Hari,"Freedom Internet Sensasi 100GB/ 30 hari PROMO Freedom Internet Sensasi  . Kuota Utama 100GB, masa aktif 30 hari . Nelpon Sepuasnya ke sesama IM3 & Tri . Pembelian paket akan menggantikan paket yang masih aktif",136000,136000,0
105,Telkomsel, PAKET BICARA SEMUA OPERATOR 30HARI  PLUS, 9500menit Onnet + 200menit AllOpr ,140750,140750,0
106,Smartfren,Smartfren Internet Volume 90GB,"Untuk Smartphone & Mifi, Kuota 24 jam 30 GB, Kuota Malam 60GB (01.00-04.59), Free On Net Call & SmartMusic Subscription, Masa berlaku 30 Hari",146500,146500,0
107,Smartfren,Super 4G Unlimited Bulanan 150K,"unlimited 1.75GB/Day FUP, 28 hari masa aktif",149000,149000,0
108,Telkomsel,Internet Combo OMG 19GB,COMBO OMG 19 GB ( 15 GB LOCAL + 2 GB ALLNET + 2 GB OMG + 300 MENIT VOICE + 100 SMS),160250,160250,0
109,XL,"XTRA Combo 20GB+40GB, Double Youtube, 30hr","20GB Kuota Utama + 40GB Kuota Youtube (00:24 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 60 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota (Max. 1GB) dapat digunakan di bulan berikutnya.",179000,179000,0
110,XL,"XTRA Combo VIP 20GB+40GB, Double Youtube, 30hr","20GB Kuota Utama + 40GB Kuota Youtube (00:00 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 60 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",189000,189000,0
111,XL,"Internet Umroh & Haji 2GB+2GB, 45hr",2GB Kuota Utama untuk di Indonesia + 2GB Kuota Utama untuk di Arab Saudi. Masa aktif 45 hari. Syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,189000,189000,0
112,Smartfren,Smartfren Internet Volume 120GB,"Untuk Smartphone & Mifi, Kuota 24 jam 40 GB, Kuota Malam 80GB (01.00-04.59), Free On Net Call & SmartMusic Subscription, Masa berlaku 30 Hari",195000,195000,0
113,XL,"Akrab 144GB, 3 Anggota, 30hr", 45GB Kuota Bersama + Bonus Kuota Pribadi hingga 33GB per Anggota  + Unlimited Kuota Aplikai + Unlimited Nelpon & SMS ke XL/AXIS. Cek Kuota Pribadi di areamu xl.co.id/akrab,205000,205000,0
114,Smartfren,Super 4G Unlimited Bulanan 200K,"unlimited 2GB/Day FUP, 28 hari masa aktif",199000,199000,0
