No,Operator,Name,Description,Normal Price,Price,Discount
115,XL,"XTRA Combo 35GB+70GB, Double Youtube, 30hr","35GB Kuota Utama + 70GB Kuota Youtube (00:24 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 90 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota (Max. 1GB) dapat digunakan di bulan berikutnya.",239000,239000,0
116,XL,"XTRA Combo VIP 35GB+70GB, Double Youtube, 30hr","35GB Kuota Utama + 70GB Kuota Youtube (00:00 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 90 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",249000,249000,0
117,XL,Xtra Combo Flex Max 80GB + Kuota Area Hingga 105GB + Bonus Flex,80GB Kuota Utama + Kuota Area hingga 105GB + 90Mn Nelpon ke Semua Operator + Ambil bonus Kuota Utama/Xtra Unlimited Turbo/Vidio Platinum di myXL. Masa aktif Paket 30hr. Info lanjut di xl.co.id/xcfm,245000,245000,0
118,XL,"Akrab 260GB, 4 Anggota, 30hr",80GB Kuota Bersama + Bonus Kuota Pribadi hingga 45GB per Anggota + Unlimited Kuota Aplikasi + Unlimited Nelpon & SMS ke XL/AXIS. Cek Kuota Pribadi di areamu xl.co.id/akrab,320000,320000,0
119,Axis,Combo Mabrur & Haji 20 Hari,"""- Kuota nelpon dapat digunakan untuk melakukan panggilan ke nomor Indonesia (AXIS, XL & Operator lain) dan nomor Saudi Arabi, dan juga menerima panggilan telpon - Kuota SMS dapat digunakan untuk seluruh operator (baik Operator di Indonesia maupun di Luar Negeri) - Untuk data, setelah melewati FUP maka kecepatan akan turun menjadi 64kbps""",399000,399000,0
120,XL,"Internet Umroh & Haji 5GB+5GB, 45hr",5GB Kuota Utama untuk di Indonesia + 5GB Kuota Utama untuk di Arab Saudi. Masa aktif 45 hari. Syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,469000,469000,0
121,XL,"Akrab 460GB, 4 Anggota, 30hr",160GB Kuota Bersama + Bonus Kuota Pribadi hingga 75GB per Anggota  + Unlimited Kuota Aplikasi+ Unlimited Nelpon & SMS ke XL/AXIS. Cek Kuota Pribadi di areamu xl.co.id/akrab,515000,515000,0
122,XL,"Internet Umroh & Haji 25GB+25GB, 60hr",25GB Kuota Utama untuk di Indonesia + 25GB Kuota Utama untuk di Arab Saudi. Masa aktif 60 hari. Syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,999000,999000,0
123,XL,"Xtra Conference 2GB, 1hr","Kuota utama 2GB, Dapat digunakan di jaringan 2G/3G/4G dari jam 00.00-24.00 WIB, Dapat digunakan untuk apps Microsoft Teams, Zoom, Google Meet, Google Hangout, Google Classroom, Masa aktif 1 hari",2938,2938,62
124,XL,"Xtra Conference 5GB, 3hr","Kuota utama 5GB, Dapat digunakan di jaringan 2G/3G/4G dari jam 00.00-24.00 WIB, Dapat digunakan untuk apps Microsoft Teams, Zoom, Google Meet, Google Hangout, Google Classroom, Masa aktif 3 hari",4938,4938,62
125,Telkomsel,Telkomsel Data Flash 250MB,"250MB All Network, bebas zona, masa aktif 7 hari.",9955,9955,0
126,Axis,Paket KANGEN 30 menit 7 hari,"Kuota nelpon 30 menit ke semua operator, masa aktif 7 hari.",8750,8750,1150
127,Indosat,Paket Nelpon Obrol Sepuasnya ke Sesama 30 Hari,Nelp Sepuasnya ke Sesama IM3 dan Tri & Spesial Tarif Nelp ke operator lain Rp 10/detik. Masa aktif 30 hari,9900,9900,0
128,Telkomsel, PAKET BICARA SEMUA OPERATOR 1HARI , 280menit Onnet + 5menit AllOpr ,11500,11500,0
129,XL,"Xtra Conference 15GB, 7hr","Kuota utama 15GB, Dapat digunakan di jaringan 2G/3G/4G dari jam 00.00-24.00 WIB, Dapat digunakan untuk apps Microsoft Teams, Zoom, Google Meet, Google Hangout, Google Classroom, Masa aktif 7 hari",11874,11874,126
130,Telkomsel,"Telkomsel Data Flash 500MB, 15Hr"," 500MB All Network, bebas zona, masa aktif 15 hari.",16980,16980,0
131,Indosat,Freedom Internet Sachet 2.5GB/5Hari,"• Kuota Utama 2.5GB, masa aktif 5 Hari. • Pembelian paket akan menggantikan paket yg masih aktif.",10950,10950,0
132,XL,"AnyNet 400 Menit, 7 hari",Paket AnyNet 400 Menit. Masa aktif 7 hari.,11750,11750,250
133,Axis,AIGO Bronet 24Jam 1GB 30hr,"Kuota Utama 1GB, Kuota Lokal mulai 0,5GB berlaku di area tertentu, masa aktif paket 30hari. Cek Kuota Utama/Lokal/sisa kuota di AXISnet. Unduh AXISnet dari Google Play atau Apple Store. Bronet 30hari tidak berlaku perpanjangan",16000,16000,0
134,Telkomsel,Paket Data Zoom 1 Hari,"Kuota Internet ZOOM 500Mb, masa aktif 1 hari",15125,15125,0
135,Indosat,Freedom Internet 2GB / 30 Hari + Bonus Kuota Zona Hingga 2GB,"• Kuota Utama 2GB, masa aktif 30 hari • Bonus tambahan kuota zona hingga 2GB, jika registrasi paket di zona kuota plus Freedom Internet. Info im3.do/kuotaplusec • Baru! Nelpon sepuasnya ke sesama IM3 & Tri, suara lebih jernih didukung jaringan VoLTE • Pembelian paket akan menggantikan paket yg masih aktif",17750,17750,0
136,Telkomsel,"Telkomsel Data Flash 1GB, 7Hr"," Kuota utama 1GB, masa aktif 7 Hari",24280,24280,0
137,Axis,AIGO Bronet Mini 2GB 7hr,"Kuota Utama 2GB, Kuota Lokal mulai 1GB dan Bonus kuota video/sosmed/games di area tertentu, masa aktif paket 7hari. Cek Kuota Utama/Lokal/sisa kuota di AXISnet. Unduh AXISnet dari Google Play atau Apple Store. Bronet Mini tidak berlaku perpanjangan",18400,18400,0
138,Telkomsel,PAKET INTERNET HARIAN 20K 1 HARI,KUOTA 6GB sd 8GB,20525,20525,0
139,Telkomsel, PAKET BICARA SEMUA OPERATOR 3HARI , 585menit Onnet + 25menit AllOpr ,24500,24500,0
140,Axis,Paket Internet Axis BRONET 4G OWSEM 1GB+1GB (4G),Kuota Data 1GB + 1GB (4G). Masa aktif 30 hari.,20900,20900,3000
141,Telkomsel,Paket Bicara Telkomsel 20.000,350 menit Onnet + 30 menit all operator. Masa aktif 7 hari. Kuota zona berlaku.,24450,24450,0
142,Axis,AIGO Bronet 24Jam 2GB 30hr,"Kuota Utama 2GB, Kuota Lokal mulai 1GB berlaku di area tertentu, 30hari. Cek Kuota Utama/Lokal/sisa kuota di AXISnet. Unduh AXISnet dari Google Play atau Apple Store. Bronet 30hari tidak berlaku perpanjangan ",25900,25900,0
143,Axis,Paket KANGEN 100 menit 30 hari,"Kuota nelpon 100 menit ke semua operator, masa aktif 30 hari.",26400,26400,1500
144,Indosat,Paket Nelpon Obrol Sepuasnya ke Sesama + 60 menit ke Semua 30 Hari,Nelp Sepuasnya ke Sesama IM3 dan Tri & 60 Menit Nelp ke operator lain. Masa aktif 30 hari,24750,24750,0
145,Telkomsel,"Kuota MaxStream 5GB + 1GB All network, 30 hari",Kuota MAXstream 5GB + All network 1GB. Masa aktif 30 hari,26500,26500,0
146,Telkomsel,Paket Bicara Telkomsel 25.000,550 menit nelpon ke sesama Telkomsel dan 50 menit all operator. Masa aktif 7 hari. Kuota zona berlaku.,26500,26500,0
147,Telkomsel,Telkomsel Data SMULE 1GB,"Kuota Utama 	1GB Internet, 1GB DPI MusicMax, 30 Hari SMULE VIP, 30 hari.",26500,26500,0
148,Telkomsel, PAKET BICARA SEMUA OPERATOR 7HARI , 780menit Onnet + 50menit AllOpr ,28500,28500,0
149,Telkomsel,Paket Data Zoom 3 Hari,"Kuota Internet ZOOM 1.5GB, masa aktif 3 hari",25000,25000,0
150,Telkomsel,MusicMAX,"Data Package of 1.25 GB kuota National, 0.25 GB kuota YouTube, 5 GB Music Apps DPI (Spotify, JOOX, Langit Musik, Resso, Dezeer, Smule, Wesing, Starmaker) Bonus: Langit Musik Premium 30 Days + 2 NSP 30 Days",26000,26000,0
151,Telkomsel,MusicMAX Smule,"Data Package of 1.25 GB kuota National, 0.25 GB kuota YouTube, 5 GB Music Apps DPI Smule 32874 25,000 30 days Bonus: Voucher Smule VIP 30 Days",26000,26000,0
152,Telkomsel,GamesMax Unlimited Play AOV 25,"Kuota 31,5 GB (Kuota Allnet 1 GB , DPI Games 30 GB , Youtube 500MB , Bonus Aov - 40 Voucher) Masa Aktif 30 Hari",26500,26500,0
153,Telkomsel,GamesMax Unlimited Play Free Fire 25,"Kuota 31,5 GB (Kuota Allnet 1 GB , DPI Games 30 GB , Youtube 500MB , Bonus Free Fire - 50 Diamonds) Masa Aktif 30 Hari",26500,26500,0
154,Telkomsel,GamesMax Unlimited Play Google Play 25,"Kuota 31,5 GB (Kuota Allnet 1 GB , DPI Games 30 GB , Youtube 500MB , Bonus Kode Voucher Google Play 5K) Masa Aktif 30 Hari",26500,26500,0
155,Telkomsel,GamesMax Unlimited Play Mobile Legends 25,"Kuota 31,5 GB (Kuota Allnet 1 GB , DPI Games 30 GB , Youtube 500MB , Bonus MLBB - 56 Diamonds) Masa Aktif 30 Hari",26500,26500,0
156,Telkomsel,Paket Telpon (375-900 Menit On Net + 50 Menit Off Net) 7 Hari,Paket telpon sampai dengan 900 Menit ke sesama operator dan 50 Menit ke Operator lain. Masa aktif 7 Hari,27500,27500,0
157,Indosat,Indosat Paket Unlimited Nelpon Sesama 30 Hari,Paket telpon unlimited ke sesama operator. Masa aktif 30 Hari,27500,27500,0
158,Indosat,Indosat Paket Unlimited Nelpon Sesama + 60 Menit All 30 Hari,Paket telpon unlimited ke sesama operator dan 60 Menit ke semua operator. Masa aktif 30 Hari,28000,28000,0
159,XL,Paket Internet XL HotRod 800MB,Kuota Utama 800MB (2G/3G/4G). Masa aktif 30 hari.,29900,29900,100
160,XL,"XTRA Bicara Nelpon dan Internet, 30 hari",Paket XTRA Bicara Nelpon dan Internet. Masa aktif 30 hari.,29400,29400,600
161,Axis,AIGO Bronet 24Jam 3GB 30hr,"Kuota Utama 3GB, Kuota Lokal mulai 2GB berlaku di area tertentu, 30hari. Cek Kuota Utama/Lokal/sisa kuota di AXISnet. Unduh AXISnet dari Google Play atau Apple Store. Bronet 30hari tidak berlaku perpanjangan",32900,32900,0
162,Telkomsel,PAKET INTERNET MINGGUAN 30K,"KUOTA 1,2GB sd 2,5GB",31325,31325,0
163,Indosat, Freedom Combo 6GB / 30 Hari,"• Kuota Utama 4GB+Kuota Malam 2GB, • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri+Nelp operator lain 5Menit. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.",30900,30900,0
164,Indosat, Freedom U 5.5GB / 30 Hari,"• Kuota utama 1GB + Kuota Youtube, Netflix, Instagram, Zoom & Apps 4.5GB. • Kelebihan Penggunaan Apps akan menggunakan kuota utama. • Pulsa Safe hingga 64Kbps berlaku jika kuota utama habis. • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.",30900,30900,0
165,Axis,AIGO Bronet Mini 5GB 15hr,"Kuota Utama 5GB, Kuota Lokal mulai 4GB dan Bonus kuota video/sosmed/games di area tertentu, masa aktif paket 15hari. Cek Kuota Utama/Lokal/sisa kuota di AXISnet. Unduh AXISnet dari Google Play atau Apple Store. Bronet Mini tidak berlaku perpanjangan",34900,34900,0
166,Axis,Paket Internet Axis BRONET 4G OWSEM 1GB+3GB (4G),Kuota Data 1GB + 3GB (4G). Masa aktif 30 hari.,34250,34250,4650
167,XL,"XTRA Bicara Nelpon, SMS, Internet, 30 hari","Paket XTRA Bicara Nelpon, SMS dan Internet. Masa aktif 30 hari.",34300,34300,700
168,Telkomsel,PAKET DATA TINDER,"Paket Data 1GB Kuota Nasiona, 1GB Kuota Tinder App, Bonus Tinder Plus Voucher All service valid for 30hari",35775,35775,0
169,Indosat,Freedom Internet 6.5GB / 30 Hari + Bonus Kuota Zona Hingga 6.5GB,"• Kuota Utama 6.5GB, masa aktif 30 hari • Bonus tambahan kuota zona hingga 6.5GB, jika registrasi paket di zona kuota plus Freedom Internet. Info im3.do/kuotaplusec • Baru! Nelpon sepuasnya ke sesama IM3 & Tri, suara lebih jernih didukung jaringan VoLTE • Pembelian paket akan menggantikan paket yg masih aktif",34900,34900,0
170,XL,"AnyNet 150 Menit, 30 hari",Paket AnyNet 150 Menit. Masa aktif 30 hari.,39200,39200,800
171,Telkomsel,PAKET INTERNET HARIAN 40K 3 HARI,KUOTA 4GB sd 17GB,41125,41125,0
172,Telkomsel, PAKET BICARA SESAMA TELKOMSEL 7HARI , 3400 menit Onnet ,44500,44500,0
173,Axis,OWSEM 16GB + Unlimited Games 30 Hari,"Kuota Utama 2GB + kuota malam 6GB (00-06). Kuota musik 4GB + kuota Sosmed 4GB + kuota Gaming 1GB/hari (FreeFire, Mobile Legends, AOV, ASPHALT Legends, Vainglory, Modern Combat 5), Masa aktif 30 hari.",42500,42500,1400
174,Indosat, Freedom Combo 10GB / 30 Hari,"• Kuota Utama 7GB+Kuota Malam 3GB, • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri+Nelp semua operator 10Menit. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.",41850,41850,0
175,Telkomsel,Paket Telpon (1.500-3.700 Menit On Net) 7 Hari,Paket telpon sampai dengan 3.700 Menit ke sesama operator. Masa aktif 7 Hari,44000,44000,0
176,Axis,AIGO Bronet 24Jam 5GB 30hr,"Kuota Utama 5GB, Kuota Lokal mulai 3GB berlaku di area tertentu, 30hari. Cek Kuota Utama/Lokal/sisa kuota di AXISnet. Unduh AXISnet dari Google Play atau Apple Store. Bronet 30hari tidak berlaku perpanjangan.",47900,47900,0
177,Telkomsel,PAKET INTERNET MINGGUAN 45K,"KUOTA 2,5GB sd 6GB",46600,46600,0
178,XL,Paket Internet XL HotRod 1.5GB,Kuota Utama 1.5GB (2G/3G/4G). Masa aktif 30 hari.,48885,48885,1115
179,Indosat,Paket Nelpon Obrol Sepuasnya ke Sesama + 250 menit ke Semua 30 Hari,Nelp Sepuasnya ke Sesama IM3 dan Tri & 250 Menit Nelp ke operator lain. Masa aktif 30 hari,49000,49000,0
180,Tri,Internet 10GB + Klikfilm 30 Hari,2GB semua jaringan + 8GB 4G + Akses Klikfilm 30 hari,67500,67500,0
181,Telkomsel,Paket Data Zoom 7 Hari,"Kuota Internet ZOOM 4GB, masa aktif 7 hari",50000,50000,0
182,Telkomsel,GamesMax Unlimited Play AOV 50,"Kuota 33,5 GB (Kuota Allnet 2 GB , DPI Games 30 GB , Youtube 1.5GB ,Bonus Bonus Aov - 90 Voucher) Masa Aktif 30 Hari",51500,51500,0
183,Telkomsel,GamesMax Unlimited Play Free Fire 50,"Kuota 33,5 GB (Kuota Allnet 2 GB , DPI Games 30 GB , Youtube 1.5GB ,Bonus Free Fire - 140 diamond) Masa Aktif 30 Hari",51500,51500,0
184,Telkomsel,GamesMax Unlimited Play Google Play 50,"Kuota 33,5 GB (Kuota Allnet 2 GB , DPI Games 30 GB , Youtube 1.5GB ,Bonus Kode Voucher Google Play 20K) Masa Aktif 30 Hari",51500,51500,0
185,Telkomsel,GamesMax Unlimited Play Mobile Legends 50,"Kuota 33,5 GB (Kuota Allnet 2 GB , DPI Games 30 GB , Youtube 1.5GB , Bonus MLBB - 85 Diamonds) Masa Aktif 30 Hari",51500,51500,0
186,Indosat, Freedom U 10GB / 30 Hari,"• Kuota utama 2GB + Kuota Youtube, Netflix, Instagram, Zoom & Apps 8GB. • Kelebihan Penggunaan Apps akan menggunakan kuota utama. • Pulsa Safe hingga 64Kbps berlaku jika kuota utama habis. • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.",51500,51500,0
187,Axis,OWSEM 24GB + Unlimited Games 30 Hari,"Kuota utama 3GB + kuota malam 9GB (00-06), Kuota musik 6GB + kuota Sosmed 6GB + kuota Gaming 1GB/hari (FreeFire, Mobile Legends, AOV, ASPHALT Legends, Vainglory, Modern Combat 5). Masa aktif 30 hari. ",54900,54900,1000
188,Axis,Paket Internet Axis BRONET 4G OWSEM 2GB+6GB (4G),Kuota Data 2GB + 6GB (4G). Masa aktif 30 hari.,54500,54500,7400
189,Telkomsel,Paket Bicara Telkomsel 50.000,1000 menit Onnet + 100 menit all operator. Masa aktif 30 hari. Kuota zona berlaku.,59300,59300,0
190,XL,Paket Internet XL HotRod 3GB,Kuota Utama 3GB (2G/3G/4G). Masa aktif 30 hari.,58712,58712,1288
191,XL,"AnyNet 250 Menit, 30 hari",Paket AnyNet 250Menit. Masa aktif 30 hari.,58800,58800,1200
192,Axis,AIGO Bronet 24Jam 8GB 30hr,"Kuota Utama 8GB, Kuota Lokal mulai 4GB berlaku di area tertentu, 30hari. Cek Kuota Utama/Lokal/sisa kuota di AXISnet. Unduh AXISnet dari Google Play atau Apple Store. Bronet 30hari tidak berlaku perpanjangan",64900,64900,0
193,Axis,OWSEM 32GB + Unlimited Games 30 Hari,"	Kuota utama 4 GB, kuota malam 12GB (00-06), Kuota music 8GB, Sosmed 8GB, Gaming kuota 1GB/hari (FreeFire, Mobile Legends, AOV, ASPHALT Legends, Vainglory, Modern Combat 5). Masa aktif 30 hari. ",63500,63500,2400
194,Indosat,Freedom Combo 20GB / 30 Hari,• Kuota Utama 15GB+Kuota Malam 5GB. • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri+Nelp ke Oprtr Lain 15Menit. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.,63780,63780,0
195,Tri,Internet 10GB + VIU 30 Hari,2GB semua jaringan + 8GB 4G + Akses Viu 30 hari.,67500,67500,0
196,Axis,Paket Internet Axis BRONET 8GB 60 Hari NEW!,Kuota 8GB (2G/3G/4G) 24Jam. Masa aktif 60 hari.,71750,71750,4150
197,Axis,Paket Internet Axis BRONET 4G OWSEM 3GB+9GB (4G),Kuota Data 3GB + 9GB (4G). Masa aktif 30 hari.,68500,68500,12400
198,Tri,AddOn 32GB,2GB (semua jaringan 24jam) + 15GB (500MB/Hari) + 15GB (01-17) 30 Hari,72000,72000,0
199,XL,"AnyNet 325 Menit, 30 hari",Paket AnyNet 325 Menit. Masa aktif 30 hari.,73500,73500,1500
200,Indosat, Freedom U 20GB / 30 Hari ,"• Kuota utama 3GB + Kuota Youtube, Netflix, Instagram, Zoom & Apps 17GB. • Kelebihan Penggunaan Apps akan menggunakan kuota utama. • Pulsa Safe hingga 64Kbps berlaku jika kuota utama habis. • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.",73000,73000,0
201,Telkomsel,PAKET INTERNET BULANAN OMG! 75K,KUOTA 4GB sd 13GB + 2GB OMG!,78000,78000,0
202,Telkomsel,GamesMax Unlimited Play AOV 75,"Kuota 36 GB (Kuota Allnet 4 GB , DPI Games 30 GB , Youtube 2GB , Bonus Bonus Aov - 230 Voucher) Masa Aktif 30 Hari",77875,77875,0
203,Telkomsel,GamesMax Unlimited Play Free Fire 75,"Kuota 36 GB (Kuota Allnet 4 GB , DPI Games 30 GB , Youtube 2GB , Bonus Free Fire - 355 Diamonds) Masa Aktif 30 Hari",77875,77875,0
204,Telkomsel,GamesMax Unlimited Play Google Play 75,"Kuota 36 GB (Kuota Allnet 4 GB , DPI Games 30 GB , Youtube 2GB , Bonus Kode Voucher Google Play 50K) Masa Aktif 30 Hari",77875,77875,0
205,Telkomsel,GamesMax Unlimited Play Mobile Legends 75,"Kuota 36 GB (Kuota Allnet 4 GB , DPI Games 30 GB , Youtube 2GB , Bonus MLBB - 169 Diamonds) Masa Aktif 30 Hari",77875,77875,0
206,Axis,OWSEM 48GB + Unlimited Games 30 Hari,"Kuota utama 6 GB, kuota malam 18GB (00-06), Kuota music 12GB, Sosmed 12GB, Gaming kuota 1GB/hari (FreeFire, Mobile Legends, AOV, ASPHALT Legends, Vainglory, Modern Combat 5). Masa aktif 30 hari.",81500,81500,2400
207,Axis,Paket Internet Axis BRONET 10GB 60 Hari,Kuota 10GB (2G/3G/4G) 24Jam. Masa aktif 60 hari.,87900,87900,0
208,Tri,AddOn 38GB,8GB (semua jaringan 24jam) + 15GB (500MB/Hari) + 15GB (01-17) 30 Hari,82000,82000,0
209,Indosat,Freedom Combo 30GB / 30 Hari,• Kuota Utama 23GB+Kuota Malam 7GB. • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri+Nelp ke Oprtr Lain 20 Menit. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.,85330,85330,0
210,Telkomsel, PAKET BICARA SEMUA OPERATOR 30HARI ,1500-1400 onnet + 100 mins all opr 14 Hari,88750,88750,0
211,Telkomsel,Paket Telpon (1.400-3.900 Menit On Net + 100 Menit Off Net) 30 Hari,Paket telpon sampai dengan 3.900 Menit ke sesama operator dan 100 Menit ke Operator lain. Masa aktif 30 Hari,94500,94500,0
212,Axis,Paket Internet Axis BRONET 12GB 60 Hari,Kuota 12GB (2G/3G/4G) 24Jam. Masa aktif 60 hari.,97900,97900,0
213,Axis,OWSEM 80GB + Unlimited Games 30 Hari,"	Kuota utama 10 GB, kuota malam 30GB (00-06), Kuota music 20GB, Sosmed 20GB, Gaming kuota 1GB/hari (FreeFire, Mobile Legends, AOV, ASPHALT Legends, Vainglory, Modern Combat 5). Masa aktif 30 hari.",102500,102500,2400
214,XL,Paket Internet XL HotRod 6GB,Kuota Utama 6GB (2G/3G/4G). Masa aktif 30 hari.,97900,97900,2100
215,XL,"Anynet 300 menit, 90 hari",Paket AnyNet 300 Menit. Masa aktif 90 hari.,97900,97900,2100
216,Telkomsel,"Kuota MaxStream 20GB + 4GB All network, 30 hari",Kuota MAXstream 20GB + All network 4GB. Masa aktif 30 hari,104500,104500,0
217,Telkomsel, PAKET BICARA SESAMA TELKOMSEL 30HARI ,3650 min onnet-3600 onnet 14 Hari,123575,123575,0
218,Telkomsel,Paket Telpon (3.600-10.100 Menit On Net) 30 Hari,Paket telpon sampai dengan 10.100 Menit ke sesama operator. Masa aktif 30 Hari,113000,113000,0
219,Telkomsel,PAKET INTERNET BULANAN OMG! 110K,KUOTA 7GB sd 23GB + 2GB OMG!,114500,114500,0
220,Axis,Paket Internet Axis BRONET 16GB 60 Hari,Kuota 16GB (2G/3G/4G) 24Jam. Masa aktif 60 hari.,119900,119900,0
221,XL,Paket Internet XL HotRod 8GB,Kuota Utama 8GB (2G/3G/4G). Masa aktif 30 hari.,127895,127895,2105
222,Telkomsel,Paket Data Zoom 30 Hari,"Kuota Internet ZOOM 15GB, masa aktif 30 hari",132400,132400,0
223,XL,"AnyNet 500 Menit, 30 hari",Paket AnyNet 500 Menit. Masa aktif 30 hari.,137200,137200,2800
224,Telkomsel,Paket Telpon (4.700-10.200 Menit On Net + 200 Menit Off Net) 30 Hari,Paket telpon sampai dengan 10.200 Menit ke sesama operator dan 200 Menit ke Operator lain. Masa aktif 30 Hari,148000,148000,0
225,Tri,Home 150GB, Kuota Utama 15GB + 60GB (Weekend) + 75GB (01:00 - 17:00).Masa aktif 30 hari ,143500,143500,0
226,XL,Paket AnyNet 500 Menit 90 Hari,Paket AnyNet 500 Menit. Masa aktif 90 hari.,144000,144000,6000
227,Telkomsel,"Kuota MaxStream 30GB + 10GB All network, 30 hari",Kuota MAXstream 30GB + All network 10GB. Masa aktif 30 hari,158200,158200,0
228,Telkomsel,PAKET INTERNET BULANAN OMG! 160K,KUOTA 19GB sd 48GB + 2GB OMG!,165750,165750,0
229,Indosat, Freedom Combo 60GB / 30 Hari,• Kuota Utama 45GB+Kuota Malam 15GB. • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri+Nelp ke Oprtr Lain 30 Menit. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.,162600,162600,0
230,XL,Paket Internet XL HotRod 12GB,Kuota Utama 12GB (2G/3G/4G). Masa aktif 30 hari.,175895,175895,4105
231,Telkomsel,PAKET INTERNET BULANAN OMG! 210K,KUOTA 43GB sd 83GB + 2GB OMG!,217025,217025,0
232,XL,Paket Internet XL HotRod 16GB,Kuota Utama 16GB (2G/3G/4G). Masa aktif 30 hari.,215000,215000,5000
233,XL,Paket Akrab 460GB + Bonus Pulsa 100.000,160GB Kuota Bersama + Bonus Kuota Pribadi hingga 75GB per Anggota + Unlimited Kuota Aplikasi Produktivitas + Unlimited Nelpon & SMS ke XL/AXIS + Bonus Pulsa 100.000. Detail Area bisa dilihat di xl.co.id/akrab,515000,515000,0
